date,daily,deaths
2020-02-26,1,NA
2020-02-27,3,NA
2020-02-28,2,NA
2020-02-29,9,NA
2020-03-01,4,NA
2020-03-02,6,NA
2020-03-03,8,NA
2020-03-04,23,NA
2020-03-05,30,NA
